search_term,video_id,url,title,category,view_count,comment_count
missed connection airline,rnHKl7e_8ps,https://www.youtube.com/watch?v=rnHKl7e_8ps,How To Understand Airline Rules For Missed Connections?,LEVEL_1_AWARE,0,0
missed connection airline,tJnb8fUI0Xo,https://www.youtube.com/watch?v=tJnb8fUI0Xo,✈️ Missed your connection? Travel insurance covers the extra costs | PolicyAdvisor.mp4,LEVEL_1_AWARE,22,0
missed connection airline,2nUDBhUwYic,https://www.youtube.com/watch?v=2nUDBhUwYic,Why Contact the Airline Quickly for Your Missed Connection?,LEVEL_1_AWARE,0,0
missed connection airline,S6f6AFg2E-4,https://www.youtube.com/watch?v=S6f6AFg2E-4,Are Airlines Responsible for Hotel Vouchers After a Missed Connection?,LEVEL_3_CRISIS,0,0
missed connection airline,NAY9xmNykFc,https://www.youtube.com/watch?v=NAY9xmNykFc,Who Is Responsible For A Missed Connection When MCT Is Met?,LEVEL_1_AWARE,2,0
missed connection airline,q7WjApRgULQ,https://www.youtube.com/watch?v=q7WjApRgULQ,Can Passengers Receive Meal Vouchers For Missed Connections?,LEVEL_1_AWARE,1,0
missed connection airline,-vZG9HdoX-s,https://www.youtube.com/watch?v=-vZG9HdoX-s,What Is the Airline Policy for Rebooking Missed Connections?,LEVEL_1_AWARE,3,0
missed connection airline,WDxz1yJLwlA,https://www.youtube.com/watch?v=WDxz1yJLwlA,Was My Missed Connection An Airline Error?,LEVEL_1_AWARE,0,0
missed connection airline,S4qVKPpbLXQ,https://www.youtube.com/watch?v=S4qVKPpbLXQ,How To Find My Missed Connection Cause?,LEVEL_1_AWARE,0,0
missed connection airline,nEZZJX4pWQA,https://www.youtube.com/watch?v=nEZZJX4pWQA,What Is an Airline&#39;s Hotel Voucher Policy for Missed Connections?,LEVEL_2_FRUSTRATED,1,0
missed connection airline,bAPcWsteyqY,https://www.youtube.com/watch?v=bAPcWsteyqY,What Happens When You Miss Your Connecting Flight -,LEVEL_1_AWARE,3,0
missed connection airline,3WKjqZayf6w,https://www.youtube.com/watch?v=3WKjqZayf6w,Should I Speak to an Airport Representative About My Missed Connection?,LEVEL_1_AWARE,0,0
missed connection airline,-zsu6K6MKEI,https://www.youtube.com/watch?v=-zsu6K6MKEI,Do Airlines Charge Extra For A Missed Connection?,LEVEL_1_AWARE,0,0
missed connection airline,ToLKi3bVs3s,https://www.youtube.com/watch?v=ToLKi3bVs3s,When to Contact the Airline for a Missed Connection?,LEVEL_1_AWARE,1,0
missed connection airline,P8lGeH2iHjA,https://www.youtube.com/watch?v=P8lGeH2iHjA,Is Hotel Assistance Available For Missed Flight Connections?,LEVEL_1_AWARE,0,0
missed connection airline,rsBifcF5LCs,https://www.youtube.com/watch?v=rsBifcF5LCs,How To Find Missed Connection Help In The Airline Mobile App?,LEVEL_1_AWARE,0,0
missed connection airline,AQ6LxZVMxGM,https://www.youtube.com/watch?v=AQ6LxZVMxGM,Are Airlines Required To Rebook Missed Connections?,LEVEL_1_AWARE,0,0
missed connection airline,WhI5WrPklcY,https://www.youtube.com/watch?v=WhI5WrPklcY,✈️ Missed Connecting Flight – English at the Airport #dailyenglish #englishconversation,LEVEL_1_AWARE,143138,14
missed connection airline,wzYrslX3Vo0,https://www.youtube.com/watch?v=wzYrslX3Vo0,What If A Flight Delay Causes My Missed Connection?,LEVEL_1_AWARE,1,0
missed connection airline,0kcm-Awdrc4,https://www.youtube.com/watch?v=0kcm-Awdrc4,"FLIGHT DELAY, MISSED CONNECTION, STILL HAPPY",LEVEL_1_AWARE,13325,70
missed connection airline,2i94qjUBCNY,https://www.youtube.com/watch?v=2i94qjUBCNY,How Does Rebooking Work For Missed Flight Connections?,LEVEL_1_AWARE,0,0
missed connection airline,JbuBJbWoN0M,https://www.youtube.com/watch?v=JbuBJbWoN0M,Which Records Prove My Missed Connection To The Airline?,LEVEL_1_AWARE,0,0
missed connection airline,DURj7Vd6GOw,https://www.youtube.com/watch?v=DURj7Vd6GOw,Does the Airline Pay for Hotel After a Missed Connection?,LEVEL_1_AWARE,0,0
missed connection airline,YMD26Vgntso,https://www.youtube.com/watch?v=YMD26Vgntso,Are Airlines Liable For Missed Connections After The Minimum Connection Time?,LEVEL_1_AWARE,0,0
airline ruined vacation,_gpwHjNY0YQ,https://www.youtube.com/watch?v=_gpwHjNY0YQ,How to Ruin Family Vacation,LEVEL_1_AWARE,222130,1543
airline ruined vacation,sUOOvcQ4v8A,https://www.youtube.com/watch?v=sUOOvcQ4v8A,Drunk Father Kicked Off Plane,LEVEL_1_AWARE,170960,2108
airline ruined vacation,yX5ZhI1oJFQ,https://www.youtube.com/watch?v=yX5ZhI1oJFQ,"Holiday travel luggage rights: What to do if your bags are lost, delayed, damaged",LEVEL_2_FRUSTRATED,34,0
airline ruined vacation,YcyRUgnkbmg,https://www.youtube.com/watch?v=YcyRUgnkbmg,She Threw Coins Into A Plane Engine 😱,LEVEL_1_AWARE,36063632,3185
airline ruined vacation,7sfLBa7K4tg,https://www.youtube.com/watch?v=7sfLBa7K4tg,Elderly Couple&#39;s Dream Vacation Rescued by Delta&#39;s Hero Flight Attendant,LEVEL_1_AWARE,1,0
